threshold,precision,recall,dice,f_beta,false_positive_pixels,false_negative_pixels
0.05,0.7835382816846572,0.9021442607374665,0.8386686651856073,0.8756348879692484,69250,27190
0.1,0.7976963188799753,0.8907931389414416,0.8416782284610428,0.8704750147130933,62772,30344
0.15000000000000002,0.8057854085698559,0.8842214368490061,0.8431832494513062,0.8673359497133327,59217,32170
0.2,0.8114791122801853,0.8793160535237107,0.8440367289409538,0.8648562333638286,56761,33533
0.25,0.8158665606345545,0.8750764779131471,0.8444348745660849,0.862556801786765,54876,34711
0.3,0.8196830618848131,0.8715854861115796,0.8448378713087012,0.8606857403185942,53275,35681
0.35000000000000003,0.8231535496195945,0.8683968070021065,0.8451701261672602,0.8589546044251016,51839,36567
0.4,0.8263808194500503,0.8651037580346485,0.845299049119436,0.8570715441793785,50502,37482
0.45,0.8293886455321146,0.8620050529406796,0.8453823659693873,0.8552781441266913,49270,38343
0.5,0.8322065750615969,0.8590215145865564,0.8454014652831863,0.8535211670290586,48125,39172
0.55,0.8350962804331887,0.856095559602356,0.8454655475446045,0.8518116370646805,46972,39985
0.6000000000000001,0.8379033940435106,0.8528636929654408,0.8453173574089744,0.8498290459765356,45844,40883
0.6500000000000001,0.8406221395931646,0.8494410814156566,0.8450086013844408,0.847662518952386,44749,41834
0.7000000000000001,0.843527717834248,0.8454858236940866,0.8445056357293045,0.8450934735913695,43578,42933
0.7500000000000001,0.8471700575704096,0.8410051177219716,0.8440763309697984,0.8422309151783055,42156,44178
0.8,0.8512054267118581,0.8354807131700064,0.8432697704069896,0.8385790031496386,40580,45713
